value
Point_ID
Revisited_point
Coarse
Clay
Sand
Silt
pH(CaCl2)
pH(H2O)
EC
OC
CaCO3
P
N
K
Elevation
LC1
LU1
Soil_Stones
NUTS_0
NUTS_1
NUTS_2
NUTS_3
LC1_Desc
LU1_Desc
