value
Depth
POINTID
pH_CaCl2
pH_H2O
EC
OC
CaCO3
P
N
K
OC (20-30 cm)
CaCO3 (20-30 cm)
Ox_Al
Ox_Fe
NUTS_0
NUTS_1
NUTS_2
NUTS_3
TH_LAT
TH_LONG
SURVEY_DATE
Elev
LC
LU
LC0_Desc
LC1_Desc
LU1_Desc
