value
POINT_ID
SURVEY_SOIL_ORG_CULTIVATED
SURVEY_SOIL_ORG_DEPTH_P_CM
SURVEY_SOIL_ORG_DEPTH_N_CM
SURVEY_SOIL_ORG_DEPTH_E_CM
SURVEY_SOIL_ORG_DEPTH_S_CM
SURVEY_SOIL_ORG_DEPTH_W_CM
SURVEY_SOIL_ORG_DEPTH_P_40_CM
SURVEY_SOIL_ORG_DEPTH_N_40_CM
SURVEY_SOIL_ORG_DEPTH_E_40_CM
SURVEY_SOIL_ORG_DEPTH_S_40_CM
SURVEY_SOIL_ORG_DEPTH_W_40_CM
SURVEY_SOIL_ORG_TAKEN
SURVEY_SOIL_ORG_DEPTH_CANDO
