value
POINT_ID
SURVEY_EROSION_SIGNS
SURVEY_EROSION_SHEET
SURVEY_EROSION_SHEET_P
SURVEY_EROSION_SHEET_N
SURVEY_EROSION_SHEET_E
SURVEY_EROSION_SHEET_S
SURVEY_EROSION_SHEET_W
SURVEY_EROSION_SHEET_NR
SURVEY_EROSION_SHEET_N_DIST_M
SURVEY_EROSION_SHEET_E_DIST_M
SURVEY_EROSION_SHEET_S_DIST_M
SURVEY_EROSION_SHEET_W_DIST_M
SURVEY_EROSION_RILL
SURVEY_EROSION_RILL_P
SURVEY_EROSION_RILL_N
SURVEY_EROSION_RILL_E
SURVEY_EROSION_RILL_W
SURVEY_EROSION_RILL_S
SURVEY_EROSION_RILL_NR
SURVEY_EROSION_RILL_N_DIST_M
SURVEY_EROSION_RILL_E_DIST_M
SURVEY_EROSION_RILL_S_DIST_M
SURVEY_EROSION_RILL_W_DIST_M
SURVEY_EROSION_GULLY
SURVEY_EROSION_GULLY_P
SURVEY_EROSION_GULLY_N
SURVEY_EROSION_GULLY_E
SURVEY_EROSION_GULLY_S
SURVEY_EROSION_GULLY_W
SURVEY_EROSION_GULLY_NR
SURVEY_EROSION_GULLY_N_DIST_M
SURVEY_EROSION_GULLY_E_DIST_M
SURVEY_EROSION_GULLY_S_DIST_M
SURVEY_EROSION_GULLY_W_DIST_M
SURVEY_EROSION_MASS
SURVEY_EROSION_MASS_P
SURVEY_EROSION_MASS_N
SURVEY_EROSION_MASS_E
SURVEY_EROSION_MASS_S
SURVEY_EROSION_MASS_W
SURVEY_EROSION_MASS_NR
SURVEY_EROSION_MASS_N_DIST_M
SURVEY_EROSION_MASS_E_DIST_M
SURVEY_EROSION_MASS_S_DIST_M
SURVEY_EROSION_MASS_W_DIST_M
SURVEY_EROSION_DEP
SURVEY_EROSION_DEP_P
SURVEY_EROSION_DEP_N
SURVEY_EROSION_DEP_E
SURVEY_EROSION_DEP_S
SURVEY_EROSION_DEP_W
SURVEY_EROSION_DEP_NR
SURVEY_EROSION_DEP_N_DIST_M
SURVEY_EROSION_DEP_E_DIST_M
SURVEY_EROSION_DEP_S_DIST_M
SURVEY_EROSION_DEP_W_DIST_M
SURVEY_EROSION_WIND
SURVEY_EROSION_WIND_P
SURVEY_EROSION_WIND_N
SURVEY_EROSION_WIND_E
SURVEY_EROSION_WIND_S
SURVEY_EROSION_WIND_W
SURVEY_EROSION_WIND_NR
SURVEY_EROSION_WIND_N_DIST_M
SURVEY_EROSION_WIND_E_DIST_M
SURVEY_EROSION_WIND_S_DIST_M
SURVEY_EROSION_WIND_W_DIST_M
SURVEY_EROSION_RILLGULLY_N
